date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:23:28	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2019%20Mar%202026%2014:23:28%20GMT	https://banca.windstripedesign.ro/robots.txt		(from )
21:23:28	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2019%20Mar%202026%2014:23:28%20GMT	https://banca.windstripedesign.ro/	D:/themebank/bank/banca.windstripedesign.ro/index.html	(from )
21:23:29	142808/142808	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Mar%202026%2014:21:50%20GMT	https://banca.windstripedesign.ro/en/	D:/themebank/bank/banca.windstripedesign.ro/en/index.html	(from https://banca.windstripedesign.ro/)
21:23:29	819/819	---M--	200	added ('OK')	image/png	date:Sun,%2013%20Jun%202021%2006:18:42%20GMT	https://banca.windstripedesign.ro/images/favicon.png	D:/themebank/bank/banca.windstripedesign.ro/images/favicon.png	(from https://banca.windstripedesign.ro/en/)
21:23:29	3964/3964	---M-Z	200	added ('OK')	text/css	date:Fri,%2005%20Jan%202024%2009:50:30%20GMT	https://banca.windstripedesign.ro/media/vendor/joomla-custom-elements/css/joomla-alert.min.css?0.2.0	D:/themebank/bank/banca.windstripedesign.ro/media/vendor/joomla-custom-elements/css/joomla-alert.min44b7.css	(from https://banca.windstripedesign.ro/en/)
21:23:32	58223/58223	---MCZ	200	added ('OK')	text/css	date:Thu,%2004%20Jan%202024%2016:50:16%20GMT	https://banca.windstripedesign.ro/components/com_sppagebuilder/assets/css/font-awesome-5.min.css	D:/themebank/bank/banca.windstripedesign.ro/components/com_sppagebuilder/assets/css/font-awesome-5.min.css	(from https://banca.windstripedesign.ro/en/)
21:23:32	142976/142976	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Mar%202026%2014:23:31%20GMT	https://banca.windstripedesign.ro/tr/	D:/themebank/bank/banca.windstripedesign.ro/tr/index.html	(from https://banca.windstripedesign.ro/en/)
21:23:32	142972/142972	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Mar%202026%2014:23:32%20GMT	https://banca.windstripedesign.ro/it/	D:/themebank/bank/banca.windstripedesign.ro/it/index.html	(from https://banca.windstripedesign.ro/en/)
21:23:32	142985/142985	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Mar%202026%2005:40:32%20GMT	https://banca.windstripedesign.ro/de/	D:/themebank/bank/banca.windstripedesign.ro/de/index.html	(from https://banca.windstripedesign.ro/en/)
21:23:33	26701/26701	---MCZ	200	added ('OK')	text/css	date:Thu,%2004%20Jan%202024%2016:50:16%20GMT	https://banca.windstripedesign.ro/components/com_sppagebuilder/assets/css/font-awesome-v4-shims.css	D:/themebank/bank/banca.windstripedesign.ro/components/com_sppagebuilder/assets/css/font-awesome-v4-shims.css	(from https://banca.windstripedesign.ro/en/)
21:23:33	53431/53431	---MCZ	200	added ('OK')	text/css	date:Thu,%2004%20Jan%202024%2016:50:16%20GMT	https://banca.windstripedesign.ro/components/com_sppagebuilder/assets/css/animate.min.css	D:/themebank/bank/banca.windstripedesign.ro/components/com_sppagebuilder/assets/css/animate.min.css	(from https://banca.windstripedesign.ro/en/)
21:23:33	184721/184721	---MCZ	200	added ('OK')	text/css	date:Thu,%2004%20Jan%202024%2016:50:16%20GMT	https://banca.windstripedesign.ro/components/com_sppagebuilder/assets/css/sppagebuilder.css	D:/themebank/bank/banca.windstripedesign.ro/components/com_sppagebuilder/assets/css/sppagebuilder.css	(from https://banca.windstripedesign.ro/en/)
21:23:33	5920/5920	---MCZ	200	added ('OK')	text/css	date:Thu,%2004%20Jan%202024%2016:50:16%20GMT	https://banca.windstripedesign.ro/components/com_sppagebuilder/assets/css/magnific-popup.css	D:/themebank/bank/banca.windstripedesign.ro/components/com_sppagebuilder/assets/css/magnific-popup.css	(from https://banca.windstripedesign.ro/en/)
21:23:34	142968/142968	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Mar%202026%2014:23:33%20GMT	https://banca.windstripedesign.ro/fr/	D:/themebank/bank/banca.windstripedesign.ro/fr/index.html	(from https://banca.windstripedesign.ro/en/)
21:23:34	163873/163873	---MCZ	200	added ('OK')	text/css	date:Wed,%2030%20Mar%202022%2023:11:18%20GMT	https://banca.windstripedesign.ro/templates/banca/css/bootstrap.min.css	D:/themebank/bank/banca.windstripedesign.ro/templates/banca/css/bootstrap.min.css	(from https://banca.windstripedesign.ro/en/)
21:23:34	5202/5202	---MCZ	200	added ('OK')	text/css	date:Thu,%2004%20Jan%202024%2016:49:48%20GMT	https://banca.windstripedesign.ro/plugins/system/helixultimate/assets/css/system-j4.min.css	D:/themebank/bank/banca.windstripedesign.ro/plugins/system/helixultimate/assets/css/system-j4.min.css	(from https://banca.windstripedesign.ro/en/)
21:23:34	75594/75594	---MCZ	200	added ('OK')	text/css	date:Wed,%2030%20Mar%202022%2023:11:18%20GMT	https://banca.windstripedesign.ro/templates/banca/css/template.css	D:/themebank/bank/banca.windstripedesign.ro/templates/banca/css/template.css	(from https://banca.windstripedesign.ro/en/)
21:23:35	3962/3962	---MCZ	200	added ('OK')	text/css	date:Wed,%2030%20Mar%202022%2023:11:18%20GMT	https://banca.windstripedesign.ro/templates/banca/css/presets/preset9.css	D:/themebank/bank/banca.windstripedesign.ro/templates/banca/css/presets/preset9.css	(from https://banca.windstripedesign.ro/en/)
21:23:35	63103/63103	---MCZ	200	added ('OK')	text/css	date:Fri,%2008%20Apr%202022%2016:19:54%20GMT	https://banca.windstripedesign.ro/templates/banca/css/custom.css	D:/themebank/bank/banca.windstripedesign.ro/templates/banca/css/custom.css	(from https://banca.windstripedesign.ro/en/)
21:23:35	87533/87533	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2005%20Jan%202024%2009:50:30%20GMT	https://banca.windstripedesign.ro/media/vendor/jquery/js/jquery.min.js?3.7.1	D:/themebank/bank/banca.windstripedesign.ro/media/vendor/jquery/js/jquery.min8a0c.js	(from https://banca.windstripedesign.ro/en/)
21:23:35	528912/528912	---M--	200	added ('OK')	image/png	date:Thu,%2027%20May%202021%2000:18:50%20GMT	https://banca.windstripedesign.ro/images/help-ad/bg-shape.png	D:/themebank/bank/banca.windstripedesign.ro/images/help-ad/bg-shape.png	(from https://banca.windstripedesign.ro/en/)
21:23:36	27/27	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2005%20Jan%202024%2009:50:30%20GMT	https://banca.windstripedesign.ro/media/legacy/js/jquery-noconflict.min.js?647005fc12b79b3ca2bb30c059899d5994e3e34d	D:/themebank/bank/banca.windstripedesign.ro/media/legacy/js/jquery-noconflict.min02ca.js	(from https://banca.windstripedesign.ro/en/)
21:23:36	7682/7682	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2005%20Jan%202024%2009:50:30%20GMT	https://banca.windstripedesign.ro/media/system/js/core.min.js?ee06c8994b37d13d4ad21c573bbffeeb9465c0e2	D:/themebank/bank/banca.windstripedesign.ro/media/system/js/core.mind6dc.js	(from https://banca.windstripedesign.ro/en/)
21:23:37	151843/151843	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2005%20Jan%202024%2009:50:30%20GMT	https://banca.windstripedesign.ro/media/vendor/bootstrap/js/bootstrap-es5.min.js?5.3.2	D:/themebank/bank/banca.windstripedesign.ro/media/vendor/bootstrap/js/bootstrap-es5.mine55b.js	(from https://banca.windstripedesign.ro/en/)
21:23:37	3699/3699	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2005%20Jan%202024%2009:50:30%20GMT	https://banca.windstripedesign.ro/media/system/js/showon-es5.min.js?0e293ba9dec283752e25f4e1d5eb0a6f8c07d3be	D:/themebank/bank/banca.windstripedesign.ro/media/system/js/showon-es5.min5c41.js	(from https://banca.windstripedesign.ro/en/)
21:23:38	8744/8744	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2005%20Jan%202024%2009:50:30%20GMT	https://banca.windstripedesign.ro/media/system/js/messages-es5.min.js?c29829fd2432533d05b15b771f86c6637708bd9d	D:/themebank/bank/banca.windstripedesign.ro/media/system/js/messages-es5.min268e.js	(from https://banca.windstripedesign.ro/en/)
21:23:39	987/987	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2005%20Jan%202024%2009:50:30%20GMT	https://banca.windstripedesign.ro/media/vendor/bootstrap/js/alert.min.js?5.3.2	D:/themebank/bank/banca.windstripedesign.ro/media/vendor/bootstrap/js/alert.mine55b.js	(from https://banca.windstripedesign.ro/en/)
21:23:39	787/787	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2005%20Jan%202024%2009:50:30%20GMT	https://banca.windstripedesign.ro/media/vendor/bootstrap/js/button.min.js?5.3.2	D:/themebank/bank/banca.windstripedesign.ro/media/vendor/bootstrap/js/button.mine55b.js	(from https://banca.windstripedesign.ro/en/)
21:23:40	5752/5752	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2005%20Jan%202024%2009:50:30%20GMT	https://banca.windstripedesign.ro/media/vendor/bootstrap/js/carousel.min.js?5.3.2	D:/themebank/bank/banca.windstripedesign.ro/media/vendor/bootstrap/js/carousel.mine55b.js	(from https://banca.windstripedesign.ro/en/)
21:23:41	4047/4047	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2005%20Jan%202024%2009:50:30%20GMT	https://banca.windstripedesign.ro/media/vendor/bootstrap/js/collapse.min.js?5.3.2	D:/themebank/bank/banca.windstripedesign.ro/media/vendor/bootstrap/js/collapse.mine55b.js	(from https://banca.windstripedesign.ro/en/)
21:23:42	6220/6220	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2005%20Jan%202024%2009:50:30%20GMT	https://banca.windstripedesign.ro/media/vendor/bootstrap/js/dropdown.min.js?5.3.2	D:/themebank/bank/banca.windstripedesign.ro/media/vendor/bootstrap/js/dropdown.mine55b.js	(from https://banca.windstripedesign.ro/en/)
21:23:42	7145/7145	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2005%20Jan%202024%2009:50:30%20GMT	https://banca.windstripedesign.ro/media/vendor/bootstrap/js/modal.min.js?5.3.2	D:/themebank/bank/banca.windstripedesign.ro/media/vendor/bootstrap/js/modal.mine55b.js	(from https://banca.windstripedesign.ro/en/)
21:23:43	3552/3552	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2005%20Jan%202024%2009:50:30%20GMT	https://banca.windstripedesign.ro/media/vendor/bootstrap/js/offcanvas.min.js?5.3.2	D:/themebank/bank/banca.windstripedesign.ro/media/vendor/bootstrap/js/offcanvas.mine55b.js	(from https://banca.windstripedesign.ro/en/)
21:23:44	11314/11314	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2005%20Jan%202024%2009:50:30%20GMT	https://banca.windstripedesign.ro/media/vendor/bootstrap/js/popover.min.js?5.3.2	D:/themebank/bank/banca.windstripedesign.ro/media/vendor/bootstrap/js/popover.mine55b.js	(from https://banca.windstripedesign.ro/en/)
